x1             y1             x2             y2             v1x            v1y            v2x            v2y            v3x            v3y            v4x            v4y            v5x            v5y            v6x            v6y            p2x            p2y            Teta1          Teta2          Omega1         Omega2         
3.42395        -6.10545       10.5598        -13.3788       2.1826         2.05822        -2.1826        -2.05822       6.05028        -10.7886       15.8385        -9.23934       10.7042        -20.0855       5.28113        -17.5183       10.4155        -6.67217       0.511099       0.0215214      -0.134414      0.128581       
3.34351        -6.14987       10.5527        -13.5127       2.20943        2.02939        -2.20943       -2.02939       5.90814        -10.8671       15.7808        -9.30949       10.7785        -20.2171       5.32466        -17.716        10.327         -6.80832       0.497972       0.033658       -0.193893      0.175328       
3.23278        -6.20879       10.5364        -13.6922       2.24544        1.98948        -2.24544       -1.98948       5.71247        -10.9712       15.6965        -9.40581       10.8694        -20.3921       5.37626        -17.9786       10.2033        -6.99227       0.480053       0.0496673      -0.254261      0.225576       
3.09042        -6.28087       10.5097        -13.9149       2.2902         1.93778        -2.2902        -1.93778       5.46092        -11.0986       15.5821        -9.52508       10.978         -20.6067       5.43718        -18.3046       10.0413        -7.22302       0.457257       0.0698723      -0.315855      0.2804         
2.91474        -6.3643        10.471         -14.1773       2.34315        1.87341        -2.34315       -1.87341       5.15048        -11.246        15.433         -9.66309       11.1052        -20.8555       5.50896        -18.6916       9.83678        -7.49919       0.429473       0.0946816      -0.37906       0.340854       
2.70369        -6.45678       10.4182        -14.4751       2.40354        1.79527        -2.40354       -1.79527       4.77755        -11.4094       15.243         -9.8145        11.2518        -21.1313       5.59338        -19.1357       9.58463        -7.81888       0.396554       0.124585       -0.444288      0.407889       
2.45493        -6.5554        10.3484        -14.8019       2.4704         1.70209        -2.4704        -1.70209       4.33798        -11.5837       15.0045        -9.97273       11.4181        -21.4243       5.69232        -19.631        9.27878        -8.1795        0.358324       0.160137       -0.511873      0.482156       
2.16598        -6.65646       10.2576        -15.1493       2.54245        1.59246        -2.54245       -1.59246       3.82739        -11.7623       14.708         -10.1298       11.603         -21.7212       5.80732        -20.1687       8.9123         -8.57735       0.31459        0.201922       -0.58185       0.56355        
1.8346         -6.75531       10.1404        -15.506        2.618          1.46495        -2.618         -1.46495       3.24181        -11.9369       14.342         -10.2765       11.8029        -22.0049       5.93879        -20.7354       8.47781        -9.00704       0.265182       0.250451       -0.653467      0.650279       
1.45958        -6.84614       9.9893         -15.8571       2.69474        1.31847        -2.69474       -1.31847       2.57914        -12.0974       13.8942        -10.4026       12.01          -22.2538       6.08441        -21.3116       7.96863        -9.4605        0.210053       0.305977       -0.724301      0.737177       
1.04228        -6.92197       9.79509        -16.1845       2.76965        1.15285        -2.76965       -1.15285       1.84175        -12.2314       13.3537        -10.498        12.2091        -22.4433       6.2365         -21.871        7.38104        -9.92574       0.149452       0.368124       -0.789064      0.813446       
0.588653       -6.97521       9.5473         -16.4683       2.83893        0.969777       -2.83893       -0.969777      1.04018        -12.3255       12.7156        -10.5555       12.3766        -22.5507       6.37895        -22.3812       6.71804        -10.3859       0.0841927      0.435387       -0.83916       0.861845       
0.110823       -6.99912       9.23702        -16.6922       2.89854        0.773593       -2.89854       -0.773593      0.195829       -12.3678       11.9878        -10.5739       12.4811        -22.5638       6.48619        -22.8104       5.99292        -10.8206       0.0158325      0.504765       -0.865304      0.863757       
-0.374312      -6.98999       8.86072        -16.8498       2.94517        0.570936       -2.94517       -0.570936      -0.661426      -12.3516       11.1937        -10.5603       12.4925        -22.4898       6.52778        -23.1392       5.22892        -11.2097       -0.0534986     0.572099       -0.863498      0.810717       
-0.849785      -6.94823       8.4224         -16.9477       2.97723        0.368906       -2.97723       -0.368906      -1.50161       -12.2778       10.3668        -10.5274       12.3919        -22.3553       6.478          -23.3679       4.45285        -11.54         -0.121698      0.633221       -0.838346      0.710983       
-1.30317       -6.87763       7.93178        -17.0016       2.995          0.17306        -2.995         -0.17306       -2.30276       -12.1531       9.54074        -10.4892       12.1763        -22.1962       6.32283        -23.514        3.68724        -11.807        -0.18726       0.685085       -0.799122      0.582271       
-1.72777       -6.78342       7.4006         -17.0296       2.99997        -0.0132681     -2.99997       0.0132681      -3.05304       -11.9866       8.74152        -10.4568       11.8543        -22.046        6.05968        -23.6024       2.9469         -12.0132       -0.249401      0.726047       -0.753891      0.440615       
-2.12106       -6.67092       6.83968        -17.0478       2.99407        -0.188483      -2.99407       0.188483       -3.74801       -11.7878       7.9864         -10.4384       11.4392        -21.9309       5.69296        -23.6573       2.24014        -12.1648       -0.307848      0.755508       -0.707241      0.295938       
-2.48275       -6.54492       6.25783        -17.0689       2.97928        -0.35196       -2.97928       0.35196        -4.38712       -11.5652       7.28581        -10.4399       10.9442        -21.8686       5.22986        -23.6978       1.57144        -12.2691       -0.36257       0.773447       -0.660888      0.153045       
-2.81336       -6.40976       5.66176        -17.1018       2.95745        -0.503471      -2.95745       0.503471       -4.97133       -11.3263       6.64565        -10.4661       10.3799        -21.8703       4.67786        -23.7374       0.943568       -12.3333       -0.4136        0.780094       -0.61489       0.0137789      
-3.11355       -6.26944       5.05633        -17.153        2.93031        -0.642866      -2.93031       0.642866       -5.50178       -11.0784       6.06897        -10.5217       9.75381        -21.9419       4.04368        -23.7844       0.358847       -12.3641       -0.460942      0.77576        -0.568514      -0.121458      
-3.38374       -6.12783       4.44495        -17.2268       2.89952        -0.769926      -2.89952       0.769926       -5.97922       -10.8282       5.55693        -10.6114       9.07008        -22.0857       3.33296        -23.8422       -0.180183      -12.368        -0.504525      0.760762       -0.52072       -0.252901      
-3.62407       -5.98883       3.82985        -17.3258       2.86671        -0.884299      -2.86671       0.884299       -6.4039        -10.5825       5.10935        -10.7407       8.33019        -22.3004       2.55035        -23.9108       -0.670488      -12.3511       -0.54419       0.735383       -0.470389      -0.381088      
-3.83435       -5.85643       3.21236        -17.4509       2.83352        -0.98549       -2.83352       0.98549        -6.77548       -10.3486       4.72495        -10.9154       7.53316        -22.5822       1.69976        -23.9863       -1.10845       -12.3196       -0.57969       0.699855       -0.416435      -0.506762      
-4.01406       -5.73475       2.59304        -17.6019       2.8016         -1.07286       -2.8016        1.07286        -7.09303       -10.1336       4.40141        -11.142        6.67591        -22.9245       0.784672       -24.0617       -1.48982       -12.2793       -0.610696      0.654343       -0.357849      -0.630889      
